lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 64, 32]",0.0,False,0.3781509543572622,0.6028983393583301,0.9267826362292195,0.5034529511726774,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64]",0.0,False,0.3164572295786223,0.5420840742254439,0.8692392045048297,0.4374029199691613,success,
0.0005,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64]",0.2,False,0.2770011366744366,0.5488786675109405,0.8164731305360867,0.4691830342706757,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.3275468282095827,0.5512077904958662,0.8402201453755328,0.4631710661165818,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[64, 32, 32]",0.2,False,0.396541497313994,0.565189751920243,0.8327281892855456,0.48619600545937275,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,0.0,"[64, 32, 32]",0.2,True,0.43249646457051993,0.5690454060252961,0.9349899662396226,0.44898508614926763,success,
0.001,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.2,True,0.26203296587004077,0.5103373777556803,0.7903596850314676,0.423747003816217,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.3,True,0.38002698553491543,0.5701966500161041,0.8767505625951213,0.47604820486808375,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.0,False,0.3767723471639643,0.5791175050997204,0.866660008321871,0.49300935163623444,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64]",0.0,True,0.21937783886139708,0.648176484765008,0.8375111162455324,0.5980523729139366,success,
0.0005,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.3,True,0.4129192722387922,0.562834791249575,0.8923329063182613,0.4585920962805449,success,
